date,pm25,pm10,no,no2,so2,co,ozone,xylene,temp,humidity,wind_speed,wind_direction,rainfall,total_rf,solar_radiation,vws,AQI
2020-01-01,64.72,101.79,2.82,26.59,8.1,1.14,70.51,1.17,19.81,74.2,2.99,185.41,0,0,78.64,0.13,115.73
2020-01-02,50.87,91.55,3.16,30.49,8.83,1.09,59.92,1.34,19.71,73.21,2.69,188.65,0,0,58.62,0.12,91.55
2020-01-03,52.59,90.53,3.23,23.28,7.55,1.08,61.8,1.09,21.03,78.02,2.57,146.75,0,0,94.54,0.12,90.53
2020-01-04,21.82,48.86,3.88,21.84,9.36,0.95,44.17,0.99,19.45,79.57,2.64,157.11,0,0,83.92,0.13,48.86
2020-01-05,16,43.07,3.03,18.27,9.04,0.84,52.64,0.65,21.07,76.1,2.61,144.45,0,0,107.14,0.1,52.64
2020-01-06,49.68,89.08,2.88,22.25,9.86,0.97,64.75,0.75,20.67,71.52,2.93,144.45,0,0,116.99,0.16,89.08
2020-01-07,54.98,102.78,3.09,27.94,9.75,0.94,69,1.15,19.61,70.99,2.32,162.19,0,0,114.31,0.07,101.85
2020-01-08,49.74,92.68,3.09,27.58,8.43,0.92,70.9,1.99,20.37,69.6,1.21,146.04,0,0,122.04,0.03,92.68
2020-01-09,73.62,212.97,38.9,57.72,6.95,1.25,46.15,7.41,20.43,76.93,1.15,183.57,0,0,105.27,0,175.31
2020-01-10,49.04,87.31,2.7,23.33,8.2,1,56.9,1.19,20.93,79.44,1.98,129.48,0,0,77.01,0.05,87.31
2020-01-11,86.75,140.22,3.04,28,9.64,1.19,73.87,1.29,19.74,77.85,2.48,152.82,0,0,109.9,0.09,189.17
2020-01-12,73,125.39,2.93,32.71,10.29,1.04,83.11,1.14,18.53,71.58,2.09,145.31,0,0,119.44,0.06,143.33
2020-01-13,101.65,238.44,24.37,73.72,13.18,1.47,72.2,4.3,18.2,73.24,1.18,165.85,0,0,130.13,0.03,238.83
2020-01-14,169.47,297.89,35.6,77.94,18.97,2.02,45.93,7.34,18.94,75.75,1.08,174.76,0,0,124.43,0,338.05
2020-01-15,88.61,178.43,20.34,49.7,6.87,1.24,35.1,3.28,19.45,74.31,1.28,152.09,0,0,128.84,0.03,195.37
